year,movie,director,wins,noms,%won,oscarwin,globewin
1996,Braveheart , Mel Gibson,2,3,66.66666666666666,yes,yes
1996,Babe , Chris Noonan,0,0,0,no,no
1996,Dead Man Walking , Tim Robbins,0,0,0,no,no
1996,Leaving Las Vegas , Mike Figgis,1,2,50.0,no,no
1996,Il Postino: The Postman , Michael Radford,1,1,100.0,no,no
1997,The English Patient , Anthony Minghella,1,3,33.33333333333333,yes,no
1997,Fargo , Joel Coen,2,4,50.0,no,no
1997,The People vs. Larry Flynt , Milos Forman,1,1,100.0,no,yes
1997,Shine , Scott Hicks,0,2,0.0,no,no
1997,Secrets & Lies , Mike Leigh,0,1,0.0,no,no
1998,Titanic , James Cameron,2,3,66.66666666666666,yes,yes
1998,The Full Monty , Peter Cattaneo,0,1,0.0,no,no
1998,The Sweet Hereafter , Atom Egoyan,0,0,0,no,no
1998,L.A. Confidential , Curtis Hanson,0,2,0.0,no,no
1998,Good Will Hunting , Gus Van Sant,0,0,0,no,no
1999,Saving Private Ryan , Steven Spielberg,2,3,66.66666666666666,yes,yes
1999,Life Is Beautiful , Roberto Benigni,0,0,0,no,no
1999,Shakespeare in Love , John Madden,0,2,0.0,no,no
1999,The Thin Red Line , Terrence Malick,0,0,0,no,no
1999,The Truman Show , Peter Weir,1,2,50.0,no,no
2000,American Beauty , Sam Mendes,2,3,66.66666666666666,yes,yes
2000,Being John Malkovich , Spike Jonze,0,0,0,no,no
2000,The Cider House Rules ,Lasse Hallstrom,0,0,0,no,no
2000,The Insider , Michael Mann,0,1,0.0,no,no
2000,The Sixth Sense , M. Night Shyamalan,0,1,0.0,no,no
2001,Traffic , Steven Soderbergh,0,2,0.0,yes,no
2001,Billy Elliot , Stephen Daldry,0,1,0.0,no,no
2001,Erin Brockovich , Steven Soderbergh,0,2,0.0,no,no
2001,Gladiator , Ridley Scott,0,2,0.0,no,no
2001,"Crouching Tiger, Hidden Dragon ", Ang Lee,3,3,100.0,no,yes
2002,A Beautiful Mind , Ron Howard,1,3,33.33333333333333,yes,no
2002,Black Hawk Down , Ridley Scott,0,0,0,no,no
2002,Gosford Park , Robert Altman,1,2,50.0,no,yes
2002,The Lord of the Rings: The Fellowship of the Ring , Peter Jackson,1,2,50.0,no,no
2002,Mulholland Dr. , David Lynch,0,1,0.0,no,no
2003,The Pianist , Roman Polanski,1,1,100.0,yes,no
2003, , Chicago,0,0,0,no,no
2003, , Gangs of New York,0,1,0.0,no,no
2003, , Talk to Her,0,0,0,no,no
2003, , The Hours,0,0,0,no,no
2004,The Lord of the Rings: The Return of the King , Peter Jackson,2,3,66.66666666666666,yes,yes
2004,City of God , Fernando Meirelles,0,0,0,no,no
2004,Lost in Translation , Sofia Coppola,1,4,25.0,no,no
2004,Master and Commander: The Far Side of the World , Peter Weir,1,2,50.0,no,no
2004,Mystic River , Clint Eastwood,0,2,0.0,no,no
2005,Million Dollar Baby , Clint Eastwood,1,2,50.0,yes,yes
2005,The Aviator , Martin Scorsese,1,3,33.33333333333333,no,no
2005,Ray , Taylor Hackford,0,1,0.0,no,no
2005,Sideways , Alexander Payne,1,3,33.33333333333333,no,no
2005,Vera Drake , Mike Leigh,1,1,100.0,no,no
2006,Brokeback Mountain , Ang Lee,4,4,100.0,yes,yes
2006, , Capote,0,0,0,no,no
2006, , Crash,0,0,0,no,no
2006, ," Good Night, and Good Luck.",0,0,0,no,no
2006, , Munich,0,0,0,no,no
2007,The Departed , Martin Scorsese,2,3,66.66666666666666,yes,yes
2007,Babel ,Alejandro G. Inarritu,0,2,0.0,no,no
2007,Letters from Iwo Jima , Clint Eastwood,0,2,0.0,no,no
2007,The Queen , Stephen Frears,0,2,0.0,no,no
2007,United 93 , Paul Greengrass,1,2,50.0,no,no
2008,No Country for Old Men , Ethan Coen,1,2,50.0,yes,no
2008, , Juno,0,0,0,no,no
2008, , Michael Clayton,0,0,0,no,no
2008, , The Diving Bell and the Butterfly,0,1,0.0,no,no
2008, , There Will Be Blood,0,1,0.0,no,no
2009,Slumdog Millionaire , Danny Boyle,3,3,100.0,yes,yes
2009,The Curious Case of Benjamin Button , David Fincher,0,3,0.0,no,no
2009,Frost/Nixon , Ron Howard,0,3,0.0,no,no
2009,Milk , Gus Van Sant,0,1,0.0,no,no
2009,The Reader , Stephen Daldry,0,2,0.0,no,no
2010,The Hurt Locker , Kathryn Bigelow,2,3,66.66666666666666,yes,no
2010,Avatar , James Cameron,1,3,33.33333333333333,no,yes
2010,Inglourious Basterds , Quentin Tarantino,0,3,0.0,no,no
2010,Precious , Lee Daniels,1,2,50.0,no,no
2010,Up in the Air , Jason Reitman,0,2,0.0,no,no
2011,The King's Speech , Tom Hooper,0,2,0.0,yes,no
2011,Black Swan , Darren Aronofsky,1,3,33.33333333333333,no,no
2011,True Grit , Ethan Coen,0,0,0,no,no
2011, , The Social Network,0,0,0,no,no
2011, , The Fighter,0,0,0,no,no
2012,The Artist , Michel Hazanavicius,3,4,75.0,yes,no
2012,Midnight in Paris , Woody Allen,0,1,0.0,no,no
2012,The Tree of Life , Terrence Malick,0,0,0,no,no
2012,The Descendants , Alexander Payne,0,3,0.0,no,no
2012,Hugo , Martin Scorsese,1,3,33.33333333333333,no,yes
2013,Life of Pi , Ang Lee,0,3,0.0,yes,no
2013,Amour , Michael Haneke,0,1,0.0,no,no
2013,Silver Linings Playbook , David O. Russell,1,2,50.0,no,no
2013,Lincoln , Steven Spielberg,0,2,0.0,no,no
2013,Beasts of the Southern Wild , Benh Zeitlin,0,1,0.0,no,no
2014,Gravity ,Alfonso Cuaron,3,3,100.0,yes,yes
2014,American Hustle , David O. Russell,0,3,0.0,no,no
2014,Nebraska , Alexander Payne,0,2,0.0,no,no
2014,12 Years a Slave , Steve McQueen,1,4,25.0,no,no
2014,The Wolf of Wall Street , Martin Scorsese,0,2,0.0,no,no
2015,Birdman or (The Unexpected Virtue of Ignorance) ,Alejandro G. Inarritu,0,4,0.0,yes,no
2015,Boyhood , Richard Linklater,4,4,100.0,no,yes
2015,Foxcatcher , Bennett Miller,0,0,0,no,no
2015,The Grand Budapest Hotel , Wes Anderson,0,3,0.0,no,no
2015,The Imitation Game , Morten Tyldum,0,0,0,no,no
2016,The Revenant ,Alejandro G. Inarritu,2,3,66.66666666666666,yes,yes
2016,Spotlight , Tom McCarthy,1,3,33.33333333333333,no,no
2016,Mad Max: Fury Road , George Miller,1,2,50.0,no,no
2016,Room , Lenny Abrahamson,0,0,0,no,no
2016,The Big Short , Adam McKay,0,1,0.0,no,no
